territory_no,reef_location,week_no,pre_post_treatment,pre_post_removal,pair_id,fertilizer_treatment,territory_id,total_fish,territory_length,territory_width,territory_height
T31,Backreef,0,Pre-treatment,Pre-removal,A-Backreef,N,31-A-B-N,3,130,78,62
T32,Backreef,0,Pre-treatment,Pre-removal,A-Backreef,Y,32-A-B-Y,2,140,111,133
T33,Backreef,0,Pre-treatment,Pre-removal,B-Backreef,Y,33-B-B-Y,3,85,65,48
T34,Backreef,0,Pre-treatment,Pre-removal,B-Backreef,N,34-B-B-N,4,145,86,48
T35,Backreef,0,Pre-treatment,Pre-removal,C-Backreef,N,35-C-B-N,5,85,97,46
T36,Backreef,0,Pre-treatment,Pre-removal,C-Backreef,Y,36-C-B-Y,4,170,182,43
T37,Backreef,0,Pre-treatment,Pre-removal,D-Backreef,Y,37-D-B-Y,3,142,67,48
T38,Backreef,0,Pre-treatment,Pre-removal,D-Backreef,N,38-D-B-N,1,65,72,60
T39,Backreef,0,Pre-treatment,Pre-removal,E-Backreef,Y,39-E-B-Y,1,80,65,68
T40,Backreef,0,Pre-treatment,Pre-removal,E-Backreef,N,40-E-B-N,3,70,65,62
T41,Backreef,0,Pre-treatment,Pre-removal,F-Backreef,N,41-F-B-N,2,100,82,76
T42,Backreef,0,Pre-treatment,Pre-removal,F-Backreef,Y,42-F-B-Y,2,116,68,46
T43,Backreef,0,Pre-treatment,Pre-removal,G-Backreef,N,43-G-B-N,4,111,48,44
T44,Backreef,0,Pre-treatment,Pre-removal,G-Backreef,Y,44-G-B-Y,1,55,55,62
T45,Backreef,0,Pre-treatment,Pre-removal,H-Backreef,N,45-H-B-N,2,102,76,64
T46,Backreef,0,Pre-treatment,Pre-removal,H-Backreef,Y,46-H-B-Y,2,80,48,64
T47,Backreef,0,Pre-treatment,Pre-removal,I-Backreef,Y,47-I-B-Y,4,145,150,63
T48,Backreef,0,Pre-treatment,Pre-removal,I-Backreef,N,48-I-B-N,3,107,88,74
T49,Backreef,0,Pre-treatment,Pre-removal,J-Backreef,N,49-J-B-N,3,143,110,55
T50,Backreef,0,Pre-treatment,Pre-removal,J-Backreef,Y,50-J-B-Y,2,122,84,53
T51,Backreef,0,Pre-treatment,Pre-removal,K-Backreef,Y,51-K-B-Y,3,167,35,79
T52,Backreef,0,Pre-treatment,Pre-removal,K-Backreef,N,52-K-B-N,2,70,53,48
T53,Backreef,0,Pre-treatment,Pre-removal,L-Backreef,N,53-L-B-N,3,79,83,36
T54,Backreef,0,Pre-treatment,Pre-removal,L-Backreef,Y,54-L-B-Y,3,270,116,64
T55,Backreef,0,Pre-treatment,Pre-removal,M-Backreef,Y,55-M-B-Y,3,232,194,46
T56,Backreef,0,Pre-treatment,Pre-removal,M-Backreef,N,56-M-B-N,3,110,67,85
T57,Backreef,0,Pre-treatment,Pre-removal,N-Backreef,Y,57-N-B-Y,4,183,100,82
T58,Backreef,0,Pre-treatment,Pre-removal,N-Backreef,N,58-N-B-N,1,60,55,34
T59,Backreef,0,Pre-treatment,Pre-removal,O-Backreef,N,59-O-B-N,2,190,166,95
T60,Backreef,0,Pre-treatment,Pre-removal,O-Backreef,Y,60-O-B-Y,2,91,75,60
T1,Fringing,0,Pre-treatment,Pre-removal,A-Fringing,N,1-A-R-N,2,90,64,74
T2,Fringing,0,Pre-treatment,Pre-removal,A-Fringing,Y,2-A-R-Y,5,213,122,150
T3,Fringing,0,Pre-treatment,Pre-removal,B-Fringing,N,3-B-R-N,3,163,134,82
T4,Fringing,0,Pre-treatment,Pre-removal,B-Fringing,Y,4-B-R-Y,3,162,135,135
T5,Fringing,0,Pre-treatment,Pre-removal,C-Fringing,N,5-C-R-N,6,203,117,160
T6,Fringing,0,Pre-treatment,Pre-removal,C-Fringing,Y,6-C-R-Y,8,216,142,190
T7,Fringing,0,Pre-treatment,Pre-removal,D-Fringing,N,7-D-R-N,4,140,95,72
T8,Fringing,0,Pre-treatment,Pre-removal,D-Fringing,Y,8-D-R-Y,5,144,98,70
T10,Fringing,0,Pre-treatment,Pre-removal,E-Fringing,Y,10-E-R-Y,3,143,95,98
T9,Fringing,0,Pre-treatment,Pre-removal,E-Fringing,N,9-E-R-N,7,118,140,120
T11,Fringing,0,Pre-treatment,Pre-removal,F-Fringing,Y,11-F-R-Y,5,160,66,105
T12,Fringing,0,Pre-treatment,Pre-removal,F-Fringing,N,12-F-R-N,4,80,115,42
T13,Fringing,0,Pre-treatment,Pre-removal,G-Fringing,Y,13-G-R-Y,4,105,134,64
T14,Fringing,0,Pre-treatment,Pre-removal,G-Fringing,N,14-G-R-N,3,40,71,89
T15,Fringing,0,Pre-treatment,Pre-removal,H-Fringing,N,15-H-R-N,2,116,93,22
T16,Fringing,0,Pre-treatment,Pre-removal,H-Fringing,Y,16-H-R-Y,3,114,67,38
T17,Fringing,0,Pre-treatment,Pre-removal,I-Fringing,N,17-I-R-N,3,119,75,76
T18,Fringing,0,Pre-treatment,Pre-removal,I-Fringing,Y,18-I-R-Y,4,87,112,28
T19,Fringing,0,Pre-treatment,Pre-removal,J-Fringing,N,19-J-R-N,3,75,76,37
T20,Fringing,0,Pre-treatment,Pre-removal,J-Fringing,Y,20-J-R-Y,2,105,90,45
T21,Fringing,0,Pre-treatment,Pre-removal,K-Fringing,N,21-K-R-N,4,160,90,105
T22,Fringing,0,Pre-treatment,Pre-removal,K-Fringing,Y,22-K-R-Y,3,95,66,63
T23,Fringing,0,Pre-treatment,Pre-removal,L-Fringing,N,23-L-R-N,2,80,50,30
T24,Fringing,0,Pre-treatment,Pre-removal,L-Fringing,Y,24-L-R-Y,7,205,162,64
T25,Fringing,0,Pre-treatment,Pre-removal,M-Fringing,Y,25-M-R-Y,3,141,200,22
T26,Fringing,0,Pre-treatment,Pre-removal,M-Fringing,N,26-M-R-N,3,140,105,35
T27,Fringing,0,Pre-treatment,Pre-removal,N-Fringing,Y,27-N-R-Y,2,67,53,36
T28,Fringing,0,Pre-treatment,Pre-removal,N-Fringing,N,28-N-R-N,2,84,76,122
T29,Fringing,0,Pre-treatment,Pre-removal,O-Fringing,N,29-O-R-N,2,56,74,103
T30,Fringing,0,Pre-treatment,Pre-removal,O-Fringing,Y,30-O-R-Y,1,142,51,36
T31,Backreef,3,Post-treatment,Pre-removal,A-Backreef,N,31-A-B-N,2,130,78,62
T32,Backreef,3,Post-treatment,Pre-removal,A-Backreef,Y,32-A-B-Y,6,140,120,133
T33,Backreef,3,Post-treatment,Pre-removal,B-Backreef,Y,33-B-B-Y,4,72,59,46
T34,Backreef,3,Post-treatment,Pre-removal,B-Backreef,N,34-B-B-N,4,135,90,48
T35,Backreef,3,Post-treatment,Pre-removal,C-Backreef,N,35-C-B-N,3,85,100,48
T36,Backreef,3,Post-treatment,Pre-removal,C-Backreef,Y,36-C-B-Y,4,120,87,43
T37,Backreef,3,Post-treatment,Pre-removal,D-Backreef,Y,37-D-B-Y,2,144,57,46
T38,Backreef,3,Post-treatment,Pre-removal,D-Backreef,N,38-D-B-N,1,62,78,60
T39,Backreef,3,Post-treatment,Pre-removal,E-Backreef,Y,39-E-B-Y,1,55,41,68
T40,Backreef,3,Post-treatment,Pre-removal,E-Backreef,N,40-E-B-N,2,70,68,62
T41,Backreef,3,Post-treatment,Pre-removal,F-Backreef,N,41-F-B-N,1,140,86,76
T42,Backreef,3,Post-treatment,Pre-removal,F-Backreef,Y,42-F-B-Y,2,122,77,46
T43,Backreef,3,Post-treatment,Pre-removal,G-Backreef,N,43-G-B-N,3,111,50,44
T44,Backreef,3,Post-treatment,Pre-removal,G-Backreef,Y,44-G-B-Y,1,48,55,62
T45,Backreef,3,Post-treatment,Pre-removal,H-Backreef,N,45-H-B-N,2,102,76,64
T46,Backreef,3,Post-treatment,Pre-removal,H-Backreef,Y,46-H-B-Y,2,80,56,64
T47,Backreef,3,Post-treatment,Pre-removal,I-Backreef,Y,47-I-B-Y,6,95,106,63
T48,Backreef,3,Post-treatment,Pre-removal,I-Backreef,N,48-I-B-N,2,110,88,74
T49,Backreef,3,Post-treatment,Pre-removal,J-Backreef,N,49-J-B-N,2,130,118,55
T50,Backreef,3,Post-treatment,Pre-removal,J-Backreef,Y,50-J-B-Y,1,97,46,53
T51,Backreef,3,Post-treatment,Pre-removal,K-Backreef,Y,51-K-B-Y,2,139,28,79
T52,Backreef,3,Post-treatment,Pre-removal,K-Backreef,N,52-K-B-N,1,69,56,48
T53,Backreef,3,Post-treatment,Pre-removal,L-Backreef,N,53-L-B-N,2,79,83,36
T54,Backreef,3,Post-treatment,Pre-removal,L-Backreef,Y,54-L-B-Y,7,266,101,64
T55,Backreef,3,Post-treatment,Pre-removal,M-Backreef,Y,55-M-B-Y,2,140,130,85
T56,Backreef,3,Post-treatment,Pre-removal,M-Backreef,N,56-M-B-N,2,94,80,82
T57,Backreef,3,Post-treatment,Pre-removal,N-Backreef,Y,57-N-B-Y,3,144,85,86
T58,Backreef,3,Post-treatment,Pre-removal,N-Backreef,N,58-N-B-N,1,55,55,34
T59,Backreef,3,Post-treatment,Pre-removal,O-Backreef,N,59-O-B-N,2,206,221,93
T60,Backreef,3,Post-treatment,Pre-removal,O-Backreef,Y,60-O-B-Y,2,90,62,60
T1,Fringing,3,Post-treatment,Pre-removal,A-Fringing,N,1-A-R-N,2,90,64,74
T2,Fringing,3,Post-treatment,Pre-removal,A-Fringing,Y,2-A-R-Y,4,215,120,150
T3,Fringing,3,Post-treatment,Pre-removal,B-Fringing,N,3-B-R-N,3,163,130,82
T4,Fringing,3,Post-treatment,Pre-removal,B-Fringing,Y,4-B-R-Y,3,153,142,135
T5,Fringing,3,Post-treatment,Pre-removal,C-Fringing,N,5-C-R-N,5,200,120,160
T6,Fringing,3,Post-treatment,Pre-removal,C-Fringing,Y,6-C-R-Y,8,216,94,72
T7,Fringing,3,Post-treatment,Pre-removal,D-Fringing,N,7-D-R-N,4,134,117,72
T8,Fringing,3,Post-treatment,Pre-removal,D-Fringing,Y,8-D-R-Y,4,130,81,70
T10,Fringing,3,Post-treatment,Pre-removal,E-Fringing,Y,10-E-R-Y,5,120,93,60
T9,Fringing,3,Post-treatment,Pre-removal,E-Fringing,N,9-E-R-N,5,120,137,120
T11,Fringing,3,Post-treatment,Pre-removal,F-Fringing,Y,11-F-R-Y,4,150,70,105
T12,Fringing,3,Post-treatment,Pre-removal,F-Fringing,N,12-F-R-N,4,80,115,42
T13,Fringing,3,Post-treatment,Pre-removal,G-Fringing,Y,13-G-R-Y,4,96,120,64
T14,Fringing,3,Post-treatment,Pre-removal,G-Fringing,N,14-G-R-N,2,40,71,89
T15,Fringing,3,Post-treatment,Pre-removal,H-Fringing,N,15-H-R-N,2,116,93,122
T16,Fringing,3,Post-treatment,Pre-removal,H-Fringing,Y,16-H-R-Y,3,81,55,38
T17,Fringing,3,Post-treatment,Pre-removal,I-Fringing,N,17-I-R-N,3,119,75,76
T18,Fringing,3,Post-treatment,Pre-removal,I-Fringing,Y,18-I-R-Y,3,90,114,28
T19,Fringing,3,Post-treatment,Pre-removal,J-Fringing,N,19-J-R-N,4,75,75,37
T20,Fringing,3,Post-treatment,Pre-removal,J-Fringing,Y,20-J-R-Y,2,106,75,45
T21,Fringing,3,Post-treatment,Pre-removal,K-Fringing,N,21-K-R-N,2,160,139,105
T22,Fringing,3,Post-treatment,Pre-removal,K-Fringing,Y,22-K-R-Y,4,100,52,63
T23,Fringing,3,Post-treatment,Pre-removal,L-Fringing,N,23-L-R-N,2,77,48,30
T24,Fringing,3,Post-treatment,Pre-removal,L-Fringing,Y,24-L-R-Y,4,136,75,64
T25,Fringing,3,Post-treatment,Pre-removal,M-Fringing,Y,25-M-R-Y,5,140,209,25
T26,Fringing,3,Post-treatment,Pre-removal,M-Fringing,N,26-M-R-N,2,143,109,35
T27,Fringing,3,Post-treatment,Pre-removal,N-Fringing,Y,27-N-R-Y,1,56,53,36
T28,Fringing,3,Post-treatment,Pre-removal,N-Fringing,N,28-N-R-N,1,40,30,26
T29,Fringing,3,Post-treatment,Pre-removal,O-Fringing,N,29-O-R-N,1,56,75,100
T30,Fringing,3,Post-treatment,Pre-removal,O-Fringing,Y,30-O-R-Y,1,79,46,36
T31,Backreef,6,Post-treatment,Pre-removal,A-Backreef,N,31-A-B-N,2,114,121,61
T32,Backreef,6,Post-treatment,Pre-removal,A-Backreef,Y,32-A-B-Y,4,149,97,108
T33,Backreef,6,Post-treatment,Pre-removal,B-Backreef,Y,33-B-B-Y,3,119,46,32
T34,Backreef,6,Post-treatment,Pre-removal,B-Backreef,N,34-B-B-N,4,118,56,57
T35,Backreef,6,Post-treatment,Pre-removal,C-Backreef,N,35-C-B-N,4,137,59,47
T36,Backreef,6,Post-treatment,Pre-removal,C-Backreef,Y,36-C-B-Y,4,98,54,55
T37,Backreef,6,Post-treatment,Pre-removal,D-Backreef,Y,37-D-B-Y,1,143,53,55
T38,Backreef,6,Post-treatment,Pre-removal,D-Backreef,N,38-D-B-N,1,75,55,69
T39,Backreef,6,Post-treatment,Pre-removal,E-Backreef,Y,39-E-B-Y,1,53,65,48
T40,Backreef,6,Post-treatment,Pre-removal,E-Backreef,N,40-E-B-N,2,60,51,44
T41,Backreef,6,Post-treatment,Pre-removal,F-Backreef,N,41-F-B-N,1,126,81,79
T42,Backreef,6,Post-treatment,Pre-removal,F-Backreef,Y,42-F-B-Y,2,122,27,46
T43,Backreef,6,Post-treatment,Pre-removal,G-Backreef,N,43-G-B-N,2,158,136,57
T44,Backreef,6,Post-treatment,Pre-removal,G-Backreef,Y,44-G-B-Y,1,62,44,53
T45,Backreef,6,Post-treatment,Pre-removal,H-Backreef,N,45-H-B-N,2,103,67,59
T46,Backreef,6,Post-treatment,Pre-removal,H-Backreef,Y,46-H-B-Y,2,129,53,68
T47,Backreef,6,Post-treatment,Pre-removal,I-Backreef,Y,47-I-B-Y,6,93,107,67
T48,Backreef,6,Post-treatment,Pre-removal,I-Backreef,N,48-I-B-N,2,125,90,74
T49,Backreef,6,Post-treatment,Pre-removal,J-Backreef,N,49-J-B-N,2,161,94,88
T50,Backreef,6,Post-treatment,Pre-removal,J-Backreef,Y,50-J-B-Y,1,146,39,38
T51,Backreef,6,Post-treatment,Pre-removal,K-Backreef,Y,51-K-B-Y,1,153,33,47
T52,Backreef,6,Post-treatment,Pre-removal,K-Backreef,N,52-K-B-N,1,120,62,48
T53,Backreef,6,Post-treatment,Pre-removal,L-Backreef,N,53-L-B-N,3,72,79,36
T54,Backreef,6,Post-treatment,Pre-removal,L-Backreef,Y,54-L-B-Y,7,224,120,73
T55,Backreef,6,Post-treatment,Pre-removal,M-Backreef,Y,55-M-B-Y,2,108,124,39
T56,Backreef,6,Post-treatment,Pre-removal,M-Backreef,N,56-M-B-N,2,104,68,75
T57,Backreef,6,Post-treatment,Pre-removal,N-Backreef,Y,57-N-B-Y,3,210,123,84
T58,Backreef,6,Post-treatment,Pre-removal,N-Backreef,N,58-N-B-N,1,71,77,35
T59,Backreef,6,Post-treatment,Pre-removal,O-Backreef,N,59-O-B-N,2,202,140,86
T60,Backreef,6,Post-treatment,Pre-removal,O-Backreef,Y,60-O-B-Y,2,69,56,57
T1,Fringing,6,Post-treatment,Pre-removal,A-Fringing,N,1-A-R-N,2,90,72,76
T2,Fringing,6,Post-treatment,Pre-removal,A-Fringing,Y,2-A-R-Y,4,200,122,146
T3,Fringing,6,Post-treatment,Pre-removal,B-Fringing,N,3-B-R-N,3,101,106,82
T4,Fringing,6,Post-treatment,Pre-removal,B-Fringing,Y,4-B-R-Y,3,113,82,141
T5,Fringing,6,Post-treatment,Pre-removal,C-Fringing,N,5-C-R-N,5,172,134,161
T6,Fringing,6,Post-treatment,Pre-removal,C-Fringing,Y,6-C-R-Y,8,221,86,71
T7,Fringing,6,Post-treatment,Pre-removal,D-Fringing,N,7-D-R-N,4,138,80,71
T8,Fringing,6,Post-treatment,Pre-removal,D-Fringing,Y,8-D-R-Y,4,110,67,71
T10,Fringing,6,Post-treatment,Pre-removal,E-Fringing,Y,10-E-R-Y,5,115,80,36
T9,Fringing,6,Post-treatment,Pre-removal,E-Fringing,N,9-E-R-N,5,134,127,124
T11,Fringing,6,Post-treatment,Pre-removal,F-Fringing,Y,11-F-R-Y,5,85,77,86
T12,Fringing,6,Post-treatment,Pre-removal,F-Fringing,N,12-F-R-N,3,62,80,44
T13,Fringing,6,Post-treatment,Pre-removal,G-Fringing,Y,13-G-R-Y,3,111,77,34
T14,Fringing,6,Post-treatment,Pre-removal,G-Fringing,N,14-G-R-N,1,80,37,90
T15,Fringing,6,Post-treatment,Pre-removal,H-Fringing,N,15-H-R-N,2,91,50,26
T16,Fringing,6,Post-treatment,Pre-removal,H-Fringing,Y,16-H-R-Y,3,105,54,31
T17,Fringing,6,Post-treatment,Pre-removal,I-Fringing,N,17-I-R-N,3,116,70,73
T18,Fringing,6,Post-treatment,Pre-removal,I-Fringing,Y,18-I-R-Y,3,107,79,21
T19,Fringing,6,Post-treatment,Pre-removal,J-Fringing,N,19-J-R-N,4,68,122,39
T20,Fringing,6,Post-treatment,Pre-removal,J-Fringing,Y,20-J-R-Y,2,115,58,44
T21,Fringing,6,Post-treatment,Pre-removal,K-Fringing,N,21-K-R-N,2,162,135,106
T22,Fringing,6,Post-treatment,Pre-removal,K-Fringing,Y,22-K-R-Y,4,73,34,55
T23,Fringing,6,Post-treatment,Pre-removal,L-Fringing,N,23-L-R-N,3,75,47,33
T24,Fringing,6,Post-treatment,Pre-removal,L-Fringing,Y,24-L-R-Y,4,113,121,66
T25,Fringing,6,Post-treatment,Pre-removal,M-Fringing,Y,25-M-R-Y,5,187,126,21
T26,Fringing,6,Post-treatment,Pre-removal,M-Fringing,N,26-M-R-N,2,158,124,35
T27,Fringing,6,Post-treatment,Pre-removal,N-Fringing,Y,27-N-R-Y,1,45,50,36
T28,Fringing,6,Post-treatment,Pre-removal,N-Fringing,N,28-N-R-N,1,57,39,79
T29,Fringing,6,Post-treatment,Pre-removal,O-Fringing,N,29-O-R-N,1,64,73,101
T30,Fringing,6,Post-treatment,Pre-removal,O-Fringing,Y,30-O-R-Y,1,50,53,36
T31,Backreef,8,Post-treatment,Post-removal,A-Backreef,N,31-A-B-N,1,101,54,56
T32,Backreef,8,Post-treatment,Post-removal,A-Backreef,Y,32-A-B-Y,4,176,89,100
T33,Backreef,8,Post-treatment,Post-removal,B-Backreef,Y,33-B-B-Y,3,114,46,132
T34,Backreef,8,Post-treatment,Post-removal,B-Backreef,N,34-B-B-N,0,0,0,0
T35,Backreef,8,Post-treatment,Post-removal,C-Backreef,N,35-C-B-N,2,115,64,45
T36,Backreef,8,Post-treatment,Post-removal,C-Backreef,Y,36-C-B-Y,3,44,50,55
T37,Backreef,9,Post-treatment,Post-removal,D-Backreef,Y,37-D-B-Y,1,66,55,43
T38,Backreef,9,Post-treatment,Post-removal,D-Backreef,N,38-D-B-N,1,45,33,70
T39,Backreef,9,Post-treatment,Post-removal,E-Backreef,Y,39-E-B-Y,0,0,0,0
T40,Backreef,9,Post-treatment,Post-removal,E-Backreef,N,40-E-B-N,1,36,47,34
T41,Backreef,9,Post-treatment,Post-removal,F-Backreef,N,41-F-B-N,0,0,0,0
T42,Backreef,9,Post-treatment,Post-removal,F-Backreef,Y,42-F-B-Y,1,151,23,45
T43,Backreef,9,Post-treatment,Post-removal,G-Backreef,N,43-G-B-N,3,86,42,38
T44,Backreef,9,Post-treatment,Post-removal,G-Backreef,Y,44-G-B-Y,1,62,36,53
T45,Backreef,9,Post-treatment,Post-removal,H-Backreef,N,45-H-B-N,0,0,0,0
T46,Backreef,9,Post-treatment,Post-removal,H-Backreef,Y,46-H-B-Y,1,135,47,68
T47,Backreef,9,Post-treatment,Post-removal,I-Backreef,Y,47-I-B-Y,2,90,105,67
T48,Backreef,9,Post-treatment,Post-removal,I-Backreef,N,48-I-B-N,2,115,46,74
T49,Backreef,9,Post-treatment,Post-removal,J-Backreef,N,49-J-B-N,1,60,78,88
T50,Backreef,9,Post-treatment,Post-removal,J-Backreef,Y,50-J-B-Y,0,0,0,0
T51,Backreef,9,Post-treatment,Post-removal,K-Backreef,Y,51-K-B-Y,2,153,33,45
T52,Backreef,9,Post-treatment,Post-removal,K-Backreef,N,52-K-B-N,1,60,54,75
T53,Backreef,9,Post-treatment,Post-removal,L-Backreef,N,53-L-B-N,2,75,87,35
T54,Backreef,9,Post-treatment,Post-removal,L-Backreef,Y,54-L-B-Y,2,40,36,59
T55,Backreef,9,Post-treatment,Post-removal,M-Backreef,Y,55-M-B-Y,3,125,105,40
T56,Backreef,9,Post-treatment,Post-removal,M-Backreef,N,56-M-B-N,3,55,82,75
T57,Backreef,9,Post-treatment,Post-removal,N-Backreef,Y,57-N-B-Y,2,210,43,84
T58,Backreef,9,Post-treatment,Post-removal,N-Backreef,N,58-N-B-N,0,0,0,0
T59,Backreef,9,Post-treatment,Post-removal,O-Backreef,N,59-O-B-N,2,160,134,84
T60,Backreef,9,Post-treatment,Post-removal,O-Backreef,Y,60-O-B-Y,0,0,0,0
T1,Fringing,8,Post-treatment,Post-removal,A-Fringing,N,1-A-R-N,2,88,73,76
T2,Fringing,8,Post-treatment,Post-removal,A-Fringing,Y,2-A-R-Y,3,112,115,88
T3,Fringing,8,Post-treatment,Post-removal,B-Fringing,N,3-B-R-N,5,100,105,82
T4,Fringing,8,Post-treatment,Post-removal,B-Fringing,Y,4-B-R-Y,5,113,82,141
T5,Fringing,8,Post-treatment,Post-removal,C-Fringing,N,5-C-R-N,6,127,210,160
T6,Fringing,8,Post-treatment,Post-removal,C-Fringing,Y,6-C-R-Y,7,195,103,70
T7,Fringing,8,Post-treatment,Post-removal,D-Fringing,N,7-D-R-N,4,130,63,75
T8,Fringing,8,Post-treatment,Post-removal,D-Fringing,Y,8-D-R-Y,4,109,69,70
T9,Fringing,8,Post-treatment,Post-removal,E-Fringing,Y,10-E-R-Y,9,129,366,125
T10,Fringing,8,Post-treatment,Post-removal,E-Fringing,N,9-E-R-N,8,210,103,36
T11,Fringing,8,Post-treatment,Post-removal,F-Fringing,Y,11-F-R-Y,4,66,61,86
T12,Fringing,8,Post-treatment,Post-removal,F-Fringing,N,12-F-R-N,2,56,66,45
T13,Fringing,8,Post-treatment,Post-removal,G-Fringing,Y,13-G-R-Y,6,175,230,34
T14,Fringing,8,Post-treatment,Post-removal,G-Fringing,N,14-G-R-N,0,0,0,0
T15,Fringing,8,Post-treatment,Post-removal,H-Fringing,N,15-H-R-N,2,101,74,30
T16,Fringing,8,Post-treatment,Post-removal,H-Fringing,Y,16-H-R-Y,6,205,110,44
T17,Fringing,8,Post-treatment,Post-removal,I-Fringing,N,17-I-R-N,3,104,105,80
T18,Fringing,8,Post-treatment,Post-removal,I-Fringing,Y,18-I-R-Y,4,85,53,20
T19,Fringing,8,Post-treatment,Post-removal,J-Fringing,N,19-J-R-N,4,81,64,40
T20,Fringing,8,Post-treatment,Post-removal,J-Fringing,Y,20-J-R-Y,3,115,95,45
T21,Fringing,8,Post-treatment,Post-removal,K-Fringing,N,21-K-R-N,3,160,135,110
T22,Fringing,8,Post-treatment,Post-removal,K-Fringing,Y,22-K-R-Y,4,81,24,55
T23,Fringing,8,Post-treatment,Post-removal,L-Fringing,N,23-L-R-N,4,81,69,33
T24,Fringing,8,Post-treatment,Post-removal,L-Fringing,Y,24-L-R-Y,7,135,105,66
T25,Fringing,8,Post-treatment,Post-removal,M-Fringing,Y,25-M-R-Y,7,180,146,25
T26,Fringing,8,Post-treatment,Post-removal,M-Fringing,N,26-M-R-N,3,85,53,35
T27,Fringing,8,Post-treatment,Post-removal,N-Fringing,Y,27-N-R-Y,3,23,15,12
T28,Fringing,8,Post-treatment,Post-removal,N-Fringing,N,28-N-R-N,0,0,0,0
T29,Fringing,8,Post-treatment,Post-removal,O-Fringing,N,29-O-R-N,2,34,33,20
T30,Fringing,8,Post-treatment,Post-removal,O-Fringing,Y,30-O-R-Y,2,50,55,35